,price,year,condition,cylinders,odometer,title_status,transmission,drive,size,lat,long,weather
0,43900,2016,4,6,43500,clean,automatic,4wd,full-size,36.4715,-82.4834,59.0
1,15490,2009,2,8,98131,clean,automatic,4wd,full-size,40.468826,-74.281734,52.0
2,2495,2002,2,8,201803,clean,automatic,4wd,full-size,42.477134,-82.949564,45.0
3,1300,2000,1,8,170305,rebuilt,automatic,4wd,full-size,40.764373,-82.349503,49.0
5,6995,2003,3,8,167662,clean,automatic,4wd,full-size,45.518031,-122.578752,50.0
6,8995,2006,3,8,115500,clean,automatic,rwd,full-size,43.592223,-96.787488,38.0
7,5995,2005,3,6,191198,clean,automatic,rwd,full-size,38.611926,-121.423565,59.0
9,5500,2007,3,6,139913,clean,manual,rwd,full-size,31.782356,-96.088975,67.0
10,8900,2008,2,8,124600,rebuilt,automatic,4wd,full-size,40.5384,-82.8062,49.0
11,19680,2015,4,6,135150,clean,automatic,4wd,full-size,37.167749,-113.415403,50.0
13,12550,2007,3,8,139848,clean,automatic,4wd,mid-size,44.57437,-88.16024,45.0
14,11700,2010,2,8,144570,clean,automatic,4wd,full-size,42.892121,-85.665539,45.0
15,24077,2012,3,6,98462,clean,automatic,4wd,mid-size,34.25343,-77.85125,56.0
16,39800,2015,3,6,81233,clean,automatic,4wd,mid-size,34.74851,-77.41559000000001,56.0
17,11995,2007,3,8,237627,clean,automatic,4wd,mid-size,35.55495,-77.40626999999999,56.0
19,7500,2005,2,8,152700,clean,automatic,4wd,full-size,34.5575,-114.3307,71.0
20,8000,2005,3,8,114100,clean,automatic,rwd,full-size,40.1306,-104.9504,45.0
22,14000,2010,2,8,116000,clean,automatic,4wd,full-size,31.8841,-94.3967,67.0
23,2500,1999,2,8,198012,clean,automatic,rwd,full-size,33.4669,-94.0774,67.0
24,19550,2011,3,8,95372,clean,automatic,4wd,mid-size,44.57437,-88.16024,45.0
26,26900,2013,3,8,95208,clean,automatic,4wd,full-size,36.277213,-80.339822,56.0
27,14000,1978,3,8,45000,clean,manual,4wd,full-size,43.000228,-82.43539799999999,45.0
28,4850,2008,2,6,155000,clean,automatic,rwd,full-size,40.1245,-75.3304,53.0
29,3500,1995,2,8,120000,clean,automatic,4wd,full-size,39.875935,-75.555846,53.0
30,14995,2010,3,8,80246,clean,automatic,4wd,full-size,43.22355200000001,-77.372473,53.0
31,16750,2012,2,8,160360,clean,automatic,4wd,full-size,33.931773,-88.480625,61.0
32,13995,2008,3,8,105033,clean,automatic,4wd,full-size,43.22355200000001,-77.372473,53.0
34,16995,2007,3,8,30415,clean,automatic,4wd,full-size,47.830597,-110.662694,40.0
36,3200,2003,2,8,231000,clean,automatic,4wd,full-size,42.4649,-90.6829,47.0
37,33777,2018,3,8,12598,clean,automatic,4wd,mid-size,34.25343,-77.85125,56.0
38,16990,2014,3,6,99422,clean,automatic,4wd,full-size,47.911024,-97.045022,38.0
39,26300,2016,4,6,54200,clean,automatic,rwd,full-size,30.385487,-86.394253,65.0
40,25495,2013,3,8,41952,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
42,32950,2014,4,8,29477,clean,automatic,4wd,full-size,37.06376599999999,-93.55650200000001,52.0
44,64990,2018,3,6,8023,clean,automatic,4wd,full-size,43.154309,-75.931578,53.0
45,4000,2005,1,8,99500,clean,automatic,4wd,full-size,44.33023,-88.640601,45.0
46,27995,2016,3,6,42207,clean,automatic,4wd,full-size,44.082529,-103.227047,38.0
47,8250,2009,2,8,168700,clean,automatic,4wd,full-size,43.5667,-91.913,43.0
48,31257,2015,3,6,54380,clean,automatic,4wd,full-size,33.640206,-112.035982,71.0
49,11485,2008,2,8,120571,clean,automatic,4wd,full-size,43.122774,-88.52790999999999,45.0
50,11880,2008,3,8,147311,clean,automatic,4wd,mid-size,44.57437,-88.16024,45.0
51,5300,2007,2,8,24700,clean,automatic,4wd,full-size,46.9209,-96.8318,38.0
52,3328,1998,3,8,253765,clean,automatic,4wd,full-size,44.585547,-123.25671,50.0
54,8989,2002,2,8,167068,clean,automatic,4wd,full-size,38.153554,-85.659028,50.0
55,26320,2014,3,6,64947,clean,automatic,4wd,mid-size,43.75891,-87.75358,45.0
56,4900,2004,2,8,204603,clean,automatic,4wd,full-size,35.250553,-91.711354,59.0
57,1500,2001,1,8,280000,clean,automatic,4wd,full-size,32.4145,-85.7253,61.0
59,4900,2007,2,6,90000,clean,automatic,rwd,full-size,40.616946,-75.44178199999999,53.0
61,11500,1979,2,6,98517,clean,manual,4wd,full-size,47.9034,-91.85700000000001,43.0
62,1299,1999,2,6,220000,clean,manual,rwd,full-size,39.777232,-105.146965,45.0
63,18500,2013,3,6,98000,rebuilt,automatic,4wd,full-size,40.2688,-76.1013,53.0
64,23889,2013,2,8,108244,clean,automatic,4wd,full-size,35.01845,-85.204983,59.0
65,3495,2002,2,8,201803,clean,automatic,4wd,full-size,42.477134,-82.949564,45.0
66,25991,2015,2,6,105207,clean,automatic,4wd,full-size,37.650441,-97.335104,51.0
67,16995,2002,2,8,65336,clean,automatic,rwd,full-size,33.711509,-78.909582,60.0
68,7900,2005,3,8,101000,clean,automatic,4wd,full-size,42.484503,-92.324974,47.0
69,4900,2008,3,8,189166,clean,automatic,rwd,full-size,38.119829,-121.260241,59.0
71,18800,2012,3,8,97000,lien,automatic,4wd,full-size,39.1938,-96.5858,51.0
72,1,2014,3,6,117123,clean,automatic,rwd,full-size,29.975385,-90.172386,67.0
73,4000,1997,2,8,224000,clean,automatic,rwd,mid-size,38.593367,-92.271423,52.0
74,21990,2014,3,8,84883,clean,automatic,4wd,full-size,43.155048,-75.95265400000001,53.0
75,1200,1996,2,6,103000,clean,automatic,rwd,full-size,33.8018,-116.517,59.0
77,11860,2009,3,8,82884,clean,automatic,fwd,compact,40.4598,-79.8224,53.0
78,1200,2004,2,8,192659,clean,automatic,rwd,full-size,41.680321,-86.16030699999999,48.0
79,16500,2012,3,8,96755,clean,automatic,4wd,full-size,42.8885,-88.2122,45.0
80,16900,2014,2,6,64368,clean,automatic,rwd,full-size,31.316064,-89.43711400000001,61.0
81,20888,2014,3,6,89003,clean,automatic,rwd,full-size,37.323657,-121.927101,59.0
83,3500,1987,2,8,136600,rebuilt,automatic,rwd,full-size,41.504016,-87.868651,48.0
84,29750,2015,3,8,38943,clean,automatic,4wd,mid-size,43.75891,-87.75358,45.0
85,21990,2014,3,8,96079,clean,automatic,4wd,full-size,43.15380800000001,-75.930719,53.0
86,35995,2016,2,8,19050,clean,automatic,4wd,full-size,43.078373,-92.31780400000001,47.0
89,24500,2014,2,8,103610,lien,automatic,4wd,full-size,46.0614,-118.3315,50.0
90,16995,2012,3,6,103529,clean,automatic,rwd,full-size,31.732124,-106.364833,67.0
91,13500,2009,3,8,197662,clean,automatic,4wd,full-size,34.8825,-87.7398,61.0
92,4500,2007,2,8,198000,clean,automatic,4wd,full-size,39.63673499999999,-75.01155899999999,52.0
94,19550,2011,3,8,95372,clean,automatic,4wd,mid-size,44.57437,-88.16024,45.0
95,18800,2010,3,8,127953,clean,automatic,4wd,full-size,44.138399,-70.225926,44.0
97,8950,2008,3,8,131218,clean,automatic,4wd,full-size,61.167987,-149.868879,29.0
98,15950,2013,2,8,99470,clean,automatic,rwd,full-size,33.512633,-86.79777,61.0
100,4995,2001,2,8,122522,clean,automatic,4wd,full-size,41.4349,-82.7063,49.0
101,32990,2018,3,8,17621,clean,automatic,rwd,full-size,43.15481,-75.932436,53.0
102,19375,2013,2,6,105706,clean,automatic,rwd,full-size,32.427868,-86.467649,61.0
103,1,2014,3,6,117123,clean,automatic,rwd,full-size,29.975385,-90.172386,67.0
104,5000,2000,3,8,165961,clean,automatic,4wd,full-size,42.443348,-123.32428,50.0
105,15000,2005,3,8,97000,clean,automatic,4wd,full-size,42.6159,-83.9248,45.0
107,43900,2016,3,6,57250,clean,automatic,4wd,full-size,32.965063,-96.91330400000001,67.0
108,15500,2010,3,8,99000,clean,automatic,4wd,full-size,40.464,-74.2742,52.0
110,10800,2013,3,6,88000,clean,automatic,rwd,full-size,41.596936,-81.547063,49.0
111,28995,2014,2,8,40500,clean,automatic,4wd,full-size,45.524794,-122.65617,50.0
112,17995,2010,3,8,114000,clean,automatic,4wd,full-size,39.588258,-84.336809,49.0
113,12995,2010,2,8,144073,clean,automatic,4wd,full-size,42.50482299999999,-92.405569,47.0
115,10900,2010,3,8,0,clean,automatic,4wd,full-size,32.252974,-110.97871,71.0
117,1800,1994,3,8,170,clean,automatic,rwd,full-size,41.417217,-72.746115,51.0
118,10899,2006,3,8,140322,clean,automatic,4wd,full-size,29.534931,-98.37711800000001,67.0
119,23997,2010,3,8,58600,clean,automatic,4wd,full-size,47.65845,-117.165241,50.0
120,29900,2015,4,6,29800,clean,automatic,4wd,full-size,43.204543,-75.4242,53.0
121,10607,2006,3,8,134807,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
122,10500,2008,3,8,115414,clean,automatic,rwd,mid-size,38.88358,-94.79383,51.0
123,5995,2002,2,6,119470,clean,automatic,rwd,full-size,34.947213,-89.44095300000001,61.0
124,10000,2011,3,6,174000,clean,automatic,4wd,full-size,43.81,-111.789,47.0
125,28900,2013,3,8,95208,clean,automatic,4wd,full-size,36.277213,-80.339822,56.0
126,16995,2009,3,8,85225,clean,automatic,4wd,full-size,40.0009,-82.6687,49.0
127,5996,2003,2,8,141021,clean,automatic,4wd,full-size,44.602263,-73.16141,44.0
129,32914,2016,3,6,65706,clean,automatic,4wd,full-size,38.671618,-94.36650999999999,52.0
130,26995,2011,3,8,119691,clean,automatic,4wd,mid-size,41.96378,-83.67195,45.0
132,30795,2014,3,6,24880,clean,automatic,4wd,full-size,38.588302,-89.923783,48.0
133,11977,2008,3,8,171488,clean,automatic,4wd,mid-size,44.87313,-87.89568,45.0
134,27000,2011,2,8,148789,clean,automatic,4wd,full-size,30.790116,-83.221583,59.0
135,16800,2008,3,8,136124,clean,automatic,4wd,full-size,35.887189,-78.265568,56.0
137,22000,2010,3,8,55000,clean,automatic,4wd,full-size,42.8256,-86.0104,45.0
138,6495,2007,2,6,58151,clean,other,rwd,full-size,41.79985300000001,-86.077076,45.0
139,21998,2010,3,8,108000,clean,automatic,4wd,full-size,44.053757,-121.302076,50.0
140,18995,2010,2,8,157150,clean,automatic,4wd,full-size,33.27424,-86.81088299999999,61.0
141,24000,2012,3,6,90000,lien,automatic,4wd,full-size,42.2451,-85.7943,45.0
142,21904,2013,3,8,91835,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
143,27495,2013,3,6,95891,clean,automatic,4wd,full-size,42.701772,-89.00885799999999,45.0
144,6800,2004,3,10,162000,clean,automatic,4wd,full-size,39.839935,-97.009964,51.0
145,17900,2014,3,8,63745,clean,automatic,rwd,full-size,36.277213,-80.339822,56.0
146,8498,2004,2,8,128152,clean,automatic,4wd,full-size,44.28290399999999,-121.17374,50.0
147,9660,2006,3,8,179931,clean,automatic,4wd,mid-size,44.87313,-87.89568,45.0
148,7000,2003,3,8,113714,clean,automatic,rwd,full-size,43.6794,-83.9927,45.0
149,2500,2001,1,8,256499,clean,automatic,4wd,full-size,46.2232,-119.771,50.0
150,21995,2012,3,8,128851,clean,automatic,4wd,full-size,31.732124,-106.364833,67.0
151,10488,2006,3,8,98866,clean,automatic,4wd,mid-size,39.23845,-84.59307,49.0
153,6800,2006,3,8,127999,clean,automatic,fwd,full-size,30.1743,-97.8225,67.0
154,24995,2014,2,8,122725,clean,automatic,4wd,full-size,31.607642,-89.196805,61.0
156,3000,1999,2,8,175517,clean,automatic,4wd,full-size,43.835837,-84.586108,45.0
157,23500,2014,3,6,102190,clean,automatic,4wd,full-size,35.887189,-78.265568,56.0
158,13995,2008,3,8,105033,clean,automatic,4wd,full-size,43.22355200000001,-77.372473,53.0
159,22900,2015,3,8,99108,clean,automatic,4wd,full-size,33.066044,-89.593906,61.0
161,8995,2006,3,8,115500,clean,automatic,rwd,full-size,40.953292,-98.41842199999999,46.0
163,35832,2016,3,6,29136,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
164,10688,2011,3,6,133015,clean,automatic,4wd,full-size,29.833422,-95.410297,67.0
165,18977,2010,4,8,81040,clean,automatic,4wd,full-size,41.344632,-75.688506,53.0
166,25000,2013,3,6,143175,clean,automatic,4wd,full-size,35.887189,-78.265568,56.0
168,3000,1997,1,8,92300,clean,automatic,4wd,full-size,44.027183,-92.447462,43.0
169,17000,2010,2,8,101853,clean,automatic,4wd,full-size,40.902588,-81.150479,49.0
170,4300,1992,2,8,190500,clean,automatic,rwd,full-size,34.539442,-112.467487,71.0
172,26999,2014,2,6,127751,clean,automatic,4wd,full-size,36.644835,-93.218011,52.0
175,11500,2008,2,8,101000,clean,automatic,4wd,full-size,43.4775,-96.7041,38.0
176,12995,2014,2,6,155425,clean,automatic,rwd,full-size,42.477134,-82.949564,45.0
177,25998,2015,3,6,36048,clean,automatic,4wd,mid-size,42.22969000000001,-83.48548000000001,45.0
181,29995,2015,2,8,62688,clean,automatic,4wd,full-size,42.970214,-90.112347,45.0
182,27993,2016,3,6,17312,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
185,6799,2003,3,8,81731,clean,automatic,rwd,full-size,40.050455,-84.193339,49.0
186,12995,2007,3,8,96000,clean,automatic,4wd,full-size,43.9608,-70.2974,44.0
187,2400,2000,1,6,167000,clean,manual,4wd,full-size,44.5199,-85.6935,45.0
189,16979,2013,3,6,68602,clean,automatic,rwd,mid-size,44.52039,-88.06645,45.0
190,27995,2016,3,8,42956,clean,automatic,4wd,full-size,40.83598,-96.725713,46.0
193,2000,1993,2,8,116000,clean,automatic,4wd,full-size,37.278145,-107.859476,45.0
194,13200,2008,3,8,111102,clean,automatic,rwd,mid-size,34.83092,-87.62284,61.0
196,15900,2016,3,6,142595,clean,automatic,4wd,full-size,44.227258,-88.467902,45.0
197,7200,2002,3,8,142000,clean,automatic,4wd,full-size,45.765895,-87.089,45.0
199,21987,2010,4,8,101071,clean,automatic,4wd,full-size,32.18182,-90.13761099999999,61.0
201,15000,2016,3,6,109356,clean,automatic,rwd,mid-size,34.21788,-118.48452,59.0
203,4600,2005,2,6,160000,clean,automatic,rwd,full-size,40.182207,-122.205471,59.0
204,5000,2003,2,8,227050,clean,automatic,4wd,full-size,38.0891,-85.6548,50.0
206,4500,2002,1,8,88591,clean,automatic,4wd,full-size,30.512162,-87.252296,65.0
207,16995,2010,3,8,88402,rebuilt,automatic,4wd,full-size,44.409843,-89.88115,45.0
208,18950,2010,3,8,145278,clean,automatic,4wd,full-size,37.286501,-80.056719,55.0
210,4450,2004,3,8,152000,clean,automatic,4wd,full-size,42.484503,-92.324974,47.0
211,33996,2015,2,8,46711,clean,automatic,4wd,full-size,40.335245,-76.488033,53.0
212,28990,2013,2,6,58140,clean,automatic,4wd,full-size,45.978572,-94.34201800000001,43.0
214,24988,2012,2,8,92871,clean,automatic,4wd,full-size,36.137597,-86.761799,59.0
215,20980,2011,3,6,73000,clean,automatic,4wd,full-size,38.210411,-84.54843100000001,50.0
216,34999,2015,3,6,76002,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
218,35998,2016,3,8,27417,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
219,11500,2011,3,8,218000,clean,automatic,4wd,full-size,30.244371,-89.760584,67.0
220,7995,2000,3,8,183000,clean,automatic,rwd,full-size,39.363221,-121.686417,59.0
221,5400,2001,2,8,174000,clean,automatic,4wd,full-size,34.1124,-83.9965,59.0
222,13890,2011,3,8,142624,clean,automatic,4wd,full-size,43.15506,-75.930719,53.0
227,24993,2012,3,6,73737,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
228,21900,2015,2,6,149616,clean,automatic,4wd,full-size,31.316064,-89.43711400000001,61.0
229,5999,2004,3,8,113784,clean,automatic,4wd,full-size,27.873066,-82.78672900000001,65.0
231,22994,2012,3,6,73737,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
232,8495,2008,3,8,175000,clean,automatic,4wd,full-size,43.567639,-116.577928,47.0
234,21795,2015,2,6,103217,clean,automatic,4wd,full-size,35.796126,-78.554108,56.0
235,18900,2012,3,8,57000,rebuilt,automatic,4wd,full-size,40.254049,-76.03599100000001,53.0
236,4500,1986,2,8,154000,clean,automatic,rwd,full-size,30.9524,-86.4003,65.0
237,10900,2007,2,8,120000,clean,automatic,4wd,full-size,41.07435,-85.171308,48.0
239,39894,2015,3,6,29531,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
240,14950,2014,2,8,139325,clean,other,4wd,full-size,38.692648,-82.857744,49.0
241,7900,1997,3,8,93000,clean,automatic,rwd,full-size,44.63313400000001,-75.251276,53.0
243,3981,2008,2,6,156000,clean,automatic,rwd,full-size,44.9913,-92.9487,43.0
244,21900,2010,2,8,122275,clean,automatic,4wd,full-size,31.316064,-89.43711400000001,61.0
246,30127,2015,3,8,38943,clean,automatic,4wd,mid-size,43.75891,-87.75358,45.0
247,3300,1998,3,8,151800,clean,automatic,rwd,full-size,36.060895,-115.248768,46.0
248,3800,1997,3,6,99500,clean,automatic,rwd,full-size,43.141162,-78.683072,53.0
249,35403,2016,3,6,22375,clean,automatic,4wd,mid-size,43.75891,-87.75358,45.0
251,500,2000,1,6,189208,clean,manual,rwd,full-size,39.72656,-82.711506,49.0
252,27995,2015,3,8,113168,clean,automatic,4wd,full-size,38.671618,-94.36650999999999,52.0
253,37500,2017,4,6,13000,clean,automatic,4wd,full-size,35.1204,-76.9842,56.0
254,6999,2005,3,8,116116,clean,automatic,rwd,full-size,27.872735,-82.787042,65.0
256,13988,2011,2,6,146699,clean,automatic,4wd,full-size,42.892121,-85.665539,45.0
257,21890,2016,3,6,46203,clean,automatic,rwd,full-size,43.15455900000001,-75.931234,53.0
258,17995,2009,2,8,120312,clean,other,4wd,full-size,45.049163,-93.035945,43.0
259,34500,2017,4,6,18800,clean,automatic,4wd,full-size,33.4812,-88.3554,61.0
262,12488,2010,2,8,144570,clean,automatic,4wd,full-size,42.892121,-85.665539,45.0
263,26320,2014,3,6,64947,clean,automatic,4wd,mid-size,43.75891,-87.75358,45.0
264,7500,2001,2,8,165000,clean,automatic,4wd,full-size,39.021205,-95.626545,51.0
265,1500,2000,1,8,194000,clean,automatic,4wd,full-size,61.19,-149.8938,29.0
266,18500,2013,3,6,75295,clean,automatic,4wd,mid-size,43.78124,-88.50265,45.0
267,28990,2015,3,8,37271,clean,automatic,4wd,full-size,43.154684,-75.930204,53.0
268,29995,2015,4,6,9214,clean,automatic,4wd,full-size,47.729625,-116.739006,47.0
270,7450,2006,3,8,256866,clean,automatic,4wd,full-size,27.603157,-80.38561,65.0
272,31990,2016,3,6,22726,clean,automatic,4wd,full-size,43.154434,-75.934324,53.0
273,5000,2001,2,8,249000,clean,automatic,4wd,full-size,40.167126,-122.23768,59.0
274,21995,2011,3,6,124507,clean,automatic,4wd,full-size,42.701772,-89.00885799999999,45.0
275,18000,2013,3,6,144000,clean,automatic,4wd,full-size,31.9657,-86.2844,61.0
276,5800,2006,3,6,112413,clean,automatic,rwd,full-size,28.079232,-80.674959,65.0
278,1600,1996,2,8,199000,clean,automatic,rwd,full-size,43.5835,-70.3457,44.0
281,31950,2016,3,6,46027,clean,automatic,4wd,full-size,48.435674,-122.325843,50.0
282,28218,2014,3,6,87723,clean,automatic,4wd,mid-size,27.15356,-80.21936,65.0
283,3000,2001,3,8,200000,clean,automatic,4wd,full-size,39.9597,-74.5655,52.0
284,3950,2006,3,8,187000,clean,automatic,4wd,full-size,42.484503,-92.324974,47.0
286,21995,2014,2,6,81275,clean,automatic,rwd,full-size,36.08996,-96.05206,57.0
290,11997,2003,3,8,137655,clean,automatic,4wd,full-size,42.355897,-122.865844,50.0
291,9038,2006,3,8,196531,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
293,14995,2010,3,8,120715,clean,automatic,4wd,full-size,43.22355200000001,-77.372473,53.0
294,33000,2015,4,8,58000,clean,automatic,4wd,full-size,40.4659,-88.3609,48.0
295,2000,1986,2,6,24000,clean,automatic,rwd,full-size,43.453187,-84.047871,45.0
296,13988,2013,2,6,48459,clean,automatic,rwd,full-size,45.553434,-94.231841,43.0
297,9950,2007,3,8,138582,clean,automatic,4wd,mid-size,36.28962,-95.31964,57.0
298,2500,1991,2,6,186500,clean,manual,rwd,full-size,34.402,-119.2982,59.0
300,8995,2006,3,8,138975,clean,automatic,4wd,full-size,40.842755,-96.694022,46.0
303,2500,1984,2,6,92311,clean,automatic,rwd,full-size,36.7863,-119.8286,59.0
304,14995,2007,3,8,141653,clean,automatic,4wd,full-size,38.084394,-89.339761,48.0
306,3995,2006,4,8,138834,clean,automatic,4wd,full-size,40.019011,-74.94745999999999,52.0
307,17495,2012,2,6,123729,clean,automatic,4wd,full-size,38.717906,-108.054869,45.0
309,9300,2008,2,8,176000,clean,automatic,4wd,full-size,37.375676,-79.185799,55.0
310,13880,2009,3,8,154597,clean,automatic,4wd,mid-size,44.87313,-87.89568,45.0
311,19000,2011,3,6,83000,clean,automatic,4wd,full-size,41.3301,-92.2019,47.0
312,19977,2015,3,6,80941,clean,automatic,rwd,full-size,27.848654,-82.69031600000001,65.0
313,700,1996,1,6,260,clean,manual,rwd,full-size,42.9958,-82.4599,45.0
314,33890,2018,3,8,17621,clean,automatic,rwd,full-size,43.154309,-75.931063,53.0
315,5500,2002,2,8,176733,clean,automatic,4wd,full-size,41.875262,-84.018623,45.0
316,10900,2006,3,8,115000,clean,automatic,4wd,full-size,40.3958,-111.8506,50.0
318,14995,2009,3,8,140149,clean,automatic,4wd,full-size,38.159627,-85.69770799999999,50.0
319,20880,2015,3,8,124371,clean,automatic,4wd,mid-size,44.57437,-88.16024,45.0
320,3800,2001,2,8,124800,clean,automatic,rwd,mid-size,29.4832,-82.8809,65.0
322,34770,2016,3,6,24319,clean,automatic,4wd,mid-size,34.74851,-77.41559000000001,56.0
325,3000,2000,2,6,148000,clean,automatic,rwd,full-size,44.0105,-92.3973,43.0
326,16788,2014,2,6,127865,clean,automatic,4wd,full-size,42.892121,-85.665539,45.0
328,16950,2013,2,6,162530,clean,automatic,4wd,full-size,34.614367,-97.967015,57.0
330,15995,2010,2,8,90236,clean,automatic,4wd,full-size,35.661076,-78.703988,56.0
332,43995,2018,2,8,17675,clean,automatic,4wd,full-size,43.078373,-92.31780400000001,47.0
333,16995,2010,3,8,70816,clean,automatic,4wd,full-size,43.22355200000001,-77.372473,53.0
334,28488,2015,4,8,79557,clean,automatic,4wd,full-size,43.558671,-92.009977,43.0
335,5496,2003,2,8,141021,clean,automatic,4wd,full-size,44.602263,-73.16141,44.0
340,5500,2004,2,8,168000,clean,automatic,4wd,full-size,42.6359,-73.7219,53.0
341,23900,2013,4,8,44900,clean,automatic,4wd,full-size,34.268,-78.0578,56.0
342,25994,2014,3,6,55017,clean,automatic,4wd,mid-size,43.78124,-88.50265,45.0
343,22960,2013,2,6,117852,clean,automatic,4wd,full-size,36.137597,-86.761799,59.0
344,16013,2008,3,8,109381,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
345,30795,2014,3,6,24880,clean,automatic,4wd,full-size,38.588302,-89.923783,48.0
346,29799,2013,3,6,50617,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
348,5500,2001,2,8,251800,clean,automatic,4wd,full-size,32.2768,-95.3031,67.0
349,6800,2002,4,8,127000,clean,automatic,rwd,mid-size,37.0156,-76.4332,55.0
350,30000,2018,3,8,12200,clean,automatic,rwd,full-size,33.6819,-112.0996,71.0
352,3495,2002,2,8,201803,clean,automatic,4wd,full-size,42.477134,-82.949564,45.0
354,26750,2014,2,6,90371,clean,automatic,4wd,full-size,35.273684,-93.120968,59.0
355,10900,2006,2,8,109800,clean,automatic,4wd,full-size,40.733935,-80.731848,49.0
356,11995,2006,3,8,121978,clean,automatic,rwd,full-size,38.159627,-85.69770799999999,50.0
357,18994,2013,3,6,75295,clean,automatic,4wd,mid-size,43.78124,-88.50265,45.0
358,5999,2004,2,8,185957,clean,automatic,rwd,full-size,38.298165,-104.612546,45.0
359,900,1997,2,8,147000,clean,automatic,rwd,full-size,34.121,-88.7342,61.0
360,9990,2012,2,8,127501,clean,automatic,rwd,full-size,40.468826,-74.281734,52.0
361,22995,2012,3,8,102266,clean,automatic,4wd,mid-size,34.59723,-112.3173,71.0
362,25500,2015,3,8,14428,clean,automatic,4wd,full-size,27.144043,-82.45460200000001,65.0
364,7900,2005,3,8,123000,clean,automatic,4wd,full-size,42.484503,-92.324974,47.0
365,13995,2008,3,8,67943,clean,automatic,4wd,full-size,43.22355200000001,-77.372473,53.0
366,500,1993,0,6,426000,clean,manual,rwd,full-size,38.160481,-76.912735,55.0
367,26900,2013,3,8,95208,clean,automatic,4wd,full-size,36.277213,-80.339822,56.0
368,7000,2006,3,6,138000,clean,automatic,rwd,mid-size,37.0831,-113.5581,50.0
369,7900,2005,3,8,101000,clean,automatic,4wd,full-size,42.484503,-92.324974,47.0
370,6995,2003,3,8,167662,clean,automatic,4wd,full-size,45.518031,-122.578752,50.0
371,32990,2018,3,8,17621,clean,automatic,rwd,full-size,43.15481,-75.932436,53.0
372,12995,2011,2,6,139508,clean,automatic,4wd,full-size,42.477134,-82.949564,45.0
373,22900,2012,2,8,125874,clean,automatic,4wd,full-size,31.316064,-89.43711400000001,61.0
374,8995,2006,2,8,113000,clean,automatic,4wd,full-size,39.032924,-95.725312,51.0
375,31990,2016,3,6,22726,clean,automatic,4wd,full-size,43.154434,-75.93415300000001,53.0
376,950,2003,1,8,33,clean,automatic,rwd,full-size,43.6376,-84.26799999999999,45.0
377,19880,2011,3,8,73224,clean,automatic,4wd,mid-size,44.57437,-88.16024,45.0
379,3000,1994,3,8,190000,clean,automatic,4wd,full-size,47.430007,-123.331885,50.0
380,9770,2007,3,8,170320,clean,automatic,4wd,mid-size,44.57437,-88.16024,45.0
381,5483,2004,2,8,152816,clean,automatic,4wd,full-size,41.46389,-81.7693,49.0
382,700,1995,1,8,240000,clean,automatic,rwd,full-size,64.761472,-147.284208,29.0
383,9900,2009,2,8,97697,clean,automatic,rwd,full-size,37.677378,-92.656734,52.0
384,4350,2001,2,8,236581,rebuilt,automatic,4wd,full-size,38.479493,-90.741664,52.0
385,16995,2010,3,8,66075,clean,automatic,4wd,full-size,39.199642,-96.084108,51.0
386,27996,2014,2,8,22918,clean,automatic,4wd,full-size,40.335245,-76.488033,53.0
387,14900,2011,3,6,102750,clean,automatic,4wd,mid-size,36.2535,-95.33256999999999,57.0
388,16899,2009,3,8,110516,clean,automatic,4wd,mid-size,43.78124,-88.50265,45.0
390,14875,2012,3,8,91713,clean,automatic,4wd,full-size,38.584848,-89.985587,48.0
392,25993,2013,3,8,41952,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
393,5700,2006,2,8,162000,clean,automatic,rwd,full-size,41.1449,-81.3498,49.0
394,4350,2001,2,8,236581,rebuilt,automatic,4wd,full-size,38.479493,-90.741664,52.0
396,2895,2006,2,6,250000,clean,automatic,rwd,full-size,41.6092,-93.6,47.0
397,18500,2010,4,8,110000,lien,automatic,4wd,full-size,36.1128,-115.2801,46.0
399,30996,2014,3,6,48725,clean,automatic,4wd,mid-size,44.52039,-88.06645,45.0
400,3450,1997,2,8,203000,clean,automatic,4wd,full-size,35.070081,-106.515181,45.0
401,10900,2004,3,8,146000,clean,automatic,4wd,full-size,36.6955,-93.115,52.0
402,11995,2010,2,8,109413,clean,automatic,4wd,full-size,39.834179,-75.124291,52.0
404,35000,2017,5,8,19000,clean,automatic,4wd,full-size,33.90126,-84.914312,59.0
405,1900,1998,2,6,188000,clean,automatic,rwd,full-size,39.7563,-84.1895,49.0
