,price,year,condition,cylinders,odometer,title_status,transmission,drive,size,lat,long,weather
3013,18500,2012,3,8,163727,clean,automatic,4wd,full-size,32.794767,-97.286973,67.0
3014,6995,2008,3,6,111610,clean,automatic,rwd,full-size,29.01711,-81.303463,65.0
3015,10495,2004,3,8,110435,clean,automatic,4wd,full-size,38.084394,-89.339761,48.0
3017,42,1986,1,6,42,clean,automatic,rwd,full-size,42.0763,-80.0668,53.0
3018,23995,2011,2,8,51708,clean,automatic,4wd,full-size,39.928215,-105.148438,45.0
3020,14950,2014,2,8,139325,clean,other,4wd,full-size,38.692648,-82.857744,49.0
3022,8588,2007,3,8,138100,clean,automatic,4wd,mid-size,41.10224,-81.48186,49.0
3023,11350,2007,2,8,127432,clean,automatic,4wd,full-size,45.7813,-108.5727,40.0
3025,3800,2000,2,8,161800,clean,automatic,4wd,full-size,35.3585,-93.5454,59.0
3026,30995,2015,3,6,90971,clean,automatic,4wd,full-size,38.671618,-94.36650999999999,52.0
3027,6800,2007,3,8,125000,clean,automatic,4wd,full-size,44.486738,-73.191419,44.0
3028,19500,2014,2,8,82918,clean,automatic,rwd,full-size,35.661076,-78.703988,56.0
3029,31995,2016,3,6,98968,clean,automatic,4wd,full-size,38.671618,-94.36650999999999,52.0
3030,8500,2005,2,8,65000,clean,automatic,4wd,full-size,46.806501,-89.462032,45.0
3031,2800,2002,2,8,183000,clean,automatic,rwd,full-size,43.1388,-83.9851,45.0
3032,8995,2005,2,8,177194,clean,automatic,rwd,full-size,34.90352,-82.34607,60.0
3034,14500,2013,3,8,110000,clean,automatic,rwd,full-size,33.3299,-101.7122,67.0
3036,9770,2007,3,8,170320,clean,automatic,4wd,mid-size,44.57437,-88.16024,45.0
3037,29980,2014,3,6,51000,clean,automatic,4wd,full-size,38.210411,-84.54843100000001,50.0
3038,33975,2015,3,6,30142,clean,automatic,4wd,mid-size,43.204762,-75.440834,53.0
3039,9995,2002,3,8,131017,clean,automatic,4wd,full-size,41.78172199999999,-72.533825,51.0
3040,4990,1997,2,6,82946,clean,automatic,rwd,full-size,40.468826,-74.281734,52.0
3041,7500,2006,3,8,219918,clean,automatic,4wd,full-size,35.872198,-80.156966,56.0
3044,3900,2008,2,8,140848,clean,automatic,rwd,full-size,41.669081,-86.014431,48.0
3045,7999,2012,3,8,191355,clean,automatic,4wd,full-size,35.511639,-97.60364799999999,57.0
3048,6700,2009,1,8,105000,clean,automatic,rwd,mid-size,42.91471,-89.23424399999999,45.0
3049,27900,2016,2,6,36099,clean,automatic,4wd,full-size,31.316064,-89.43711400000001,61.0
3050,1200,2004,2,8,202000,clean,automatic,rwd,full-size,36.955,-76.543,55.0
3051,35000,2012,3,8,99000,clean,automatic,4wd,full-size,38.94094699999999,-104.725113,45.0
3054,27995,2016,3,6,42207,clean,automatic,4wd,full-size,38.951674,-92.332541,52.0
3055,22994,2012,3,6,82716,clean,automatic,4wd,mid-size,41.22815,-95.85953,47.0
3060,16995,2013,2,8,163845,clean,automatic,4wd,full-size,35.58635200000001,-77.605845,56.0
3062,15990,2014,3,6,99422,clean,automatic,4wd,full-size,47.911024,-97.045022,38.0
3064,9990,2007,4,8,105406,clean,automatic,rwd,full-size,38.731803,-90.073678,48.0
